,C4:EA:1D:B9:49:5F (TNCAPB9495F),6A:51:48:7C:54:95 (RosaMaria \xF0\x9F\x92\x95),4C:75:25:CD:DD:E9 (M5Stick),94:B9:7E:A9:10:15 (M5Atom),room_index,measurement_index,batch_index,x,y,z,9E:A3:A9:B4:75:77 (),34:0A:33:65:27:E0 (BALTCOM-65:27:DE),50:D4:F7:13:92:F7 (OPTIC5796_2.4Ghz_EXT),76:4D:28:7D:BD:B5 (KVSKT),76:4D:28:7D:BD:B4 (Publiskais_Internets),A4:B1:E9:AA:32:E7 (TNCAPAA32E7),F4:79:60:DC:32:78 (OPTIC326F),76:4D:28:7D:C5:1A (Publiskais_Internets),76:4D:28:7D:C5:1B (KVSKT),B0:BE:76:77:99:FC (B4_2.4),76:4D:28:7D:BD:B3 (SportaSkola),74:4D:28:7D:BD:B3 (Skola),74:4D:28:7D:B9:F3 (Skola),76:4D:28:7D:B9:F3 (SportaSkola),76:4D:28:7D:B9:F4 (Publiskais_Internets),76:4D:28:7D:B9:F5 (KVSKT),56:D4:F7:59:5F:F7 (),76:4D:28:7D:BB:39 (KVSKT),9E:A3:A9:B4:82:36 (),76:4D:28:7D:BD:B7 (Publiskais_Internets),58:D5:6E:C8:E4:B8 (BALTCOM-5G-C8:E4:B8),CC:2D:E0:1B:E6:31 (),74:4D:28:7D:8F:8B (Skola),76:4D:28:7D:8F:8D (KVSKT),1C:74:0D:D1:08:24 (Ruteris3),74:4D:28:7D:A8:FD (Skola),76:4D:28:7D:A8:FF (KVSKT),76:4D:28:7D:7C:2A (Publiskais_Internets),76:4D:28:7D:7C:2B (KVSKT),9E:A3:A9:B4:81:37 (),76:4D:28:7D:C2:2F (KVSKT),F4:79:60:DC:32:7C (OPTIC326F-5G),74:4D:28:7D:BB:37 (Skola),74:4D:28:7D:C5:19 (Skola),76:4D:28:7D:8F:8B (SportaSkola),76:4D:28:7D:8F:8C (Publiskais_Internets),76:4D:28:7D:7C:29 (SportaSkola),44:D7:91:33:FB:00 (),76:4D:28:7D:A8:FD (SportaSkola),B4:43:26:C6:4E:50 (OPTIC4E42),74:4D:28:66:71:CB (Skola),76:4D:28:66:71:CB (SportaSkola),76:4D:28:66:71:CC (Publiskais_Internets),88:40:33:8C:BE:6C (EDGE-M2nU),76:4D:28:7D:BD:B8 (KVSKT),76:4D:28:7D:C5:19 (SportaSkola),98:DA:C4:9B:C7:97 (neaiztiec),74:DA:DA:E6:CC:D8 (Cukurs),74:4D:28:7D:C5:1A (Skola),76:4D:28:7D:C5:1D (Publiskais_Internets),76:4D:28:7D:C5:1E (KVSKT),74:4D:28:7D:BD:B4 (Skola),76:4D:28:7D:BD:B6 (SportaSkola),C8:1F:BE:D2:B2:BC (OPTICB2AC),76:4D:28:7D:C5:1C (SportaSkola),76:4D:28:7D:BB:38 (Publiskais_Internets),9E:A3:A9:B1:62:62 (),44:D7:91:33:FB:01 (HUAWEI-B535-FAFC),74:4D:28:7D:7C:29 (Skola),74:4D:28:7D:B9:F4 (Skola),76:4D:28:7D:B9:F8 (KVSKT),76:4D:28:7D:A8:FE (Publiskais_Internets),88:40:33:8C:BE:70 (EDGE-M2nU),B8:69:F4:C6:BB:55 (),88:40:33:8D:F9:B8 (EDGE-3ADy),74:4D:28:7D:CA:EC (Skola),76:4D:28:7D:B9:F6 (SportaSkola),9E:A3:A9:B4:71:A8 (),74:4D:28:7D:C6:2D (Skola),50:D4:F7:59:5F:F7 (Saule),76:4D:28:7D:CA:ED (KVSKT),44:D7:91:33:FB:03 (),76:4D:28:7D:B9:F7 (Publiskais_Internets),58:D5:6E:C8:E4:BB (BALTCOM-C8:E4:B8),64:D1:54:87:EF:7B (D4_2.4Ghz),74:4D:28:7D:6F:07 (Skola),76:4D:28:7D:6F:08 (Publiskais_Internets),76:4D:28:7D:6F:09 (KVSKT),76:4D:28:7D:C6:2D (SportaSkola),76:4D:28:7D:C6:2E (Publiskais_Internets),76:4D:28:7D:C6:2F (KVSKT),76:4D:28:7D:CF:8F (SportaSkola),76:4D:28:7D:CF:90 (Publiskais_Internets),76:4D:28:7D:CF:91 (KVSKT),74:4D:28:7D:BB:38 (Skola),76:4D:28:7D:BB:3A (SportaSkola),76:4D:28:7D:BB:3B (Publiskais_Internets),76:4D:28:7D:BB:3C (KVSKT),74:4D:28:7D:CF:8F (Skola),76:4D:28:7D:6F:07 (SportaSkola),6C:16:32:B4:57:9C (OPTIC5796),76:4D:28:7D:A7:0F (KVSKT),74:4D:28:7D:A7:0D (Skola),BC:0F:9A:07:10:03 (BALTCOM-07:10:01),48:8F:5A:B7:C6:84 (LMT-C67F),00:15:6D:5C:09:D3 (sek52),00:27:22:2A:B1:B6 (kekava4),6C:16:32:B4:57:A0 (OPTIC5796-5G),00:15:6D:1E:CF:78 (toodukalns),64:D1:54:87:EF:7A (D4_5Ghz),64:69:4E:A4:56:FD (SMA3012944628),10:FE:ED:A4:4B:24 (fantastika),9C:53:22:18:89:10 (BALTICOM2G_4475416),6C:3B:6B:6D:DE:93 (GaismasTilts97),6E:3B:6B:6D:DE:93 (Publiskais_Internets),B0:BE:76:77:99:FB (B4_5),B0:96:6C:36:79:23 (DIGIT-DISPLAY-NUM-3),9E:A3:A9:B4:72:2D (),76:4D:28:66:71:CD (KVSKT),14:CC:20:93:98:3E (Ome),76:4D:28:66:64:3B (SportaSkola),76:4D:28:66:64:3C (Publiskais_Internets),76:4D:28:66:64:3D (KVSKT),74:4D:28:66:64:3B (Skola),44:D7:91:33:FA:FC (HUAWEI-B535-FAFC),64:D1:54:55:EF:20 (2Ghz_Nets),42:AA:1F:B0:97:77 (\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00),10:FE:ED:D6:65:04 (ATIS),F8:D1:11:64:CD:14 (LLV),88:40:33:8A:8E:04 (TP-LINK_3B47F8),44:55:B1:DC:73:C4 (OPTIC73B7),90:F6:52:3B:47:F8 (TP-LINK_3B47F8),94:25:33:31:25:70 (OPTIC2568),76:4D:28:7D:CA:EB (SportaSkola),76:4D:28:7D:CA:EC (Publiskais_Internets),76:4D:28:7D:C7:3B (KVSKT),76:4D:28:7D:A7:0E (Publiskais_Internets),76:4D:28:7D:A7:0D (SportaSkola),84:3E:92:6E:28:6C (OPTIC1),88:40:33:8A:8E:08 (TP-LINK_3B47F8),74:4D:28:7D:CA:EB (Skola),74:4D:28:7D:CF:90 (Skola),76:4D:28:7D:CA:EF (Publiskais_Internets),76:4D:28:7D:CF:92 (SportaSkola),76:4D:28:7D:CF:93 (Publiskais_Internets),76:4D:28:7D:BB:37 (SportaSkola),76:4D:28:7D:CA:EE (SportaSkola),76:4D:28:7D:C2:2D (SportaSkola),94:04:9C:75:6B:F0 (OPTIC6BE2),76:4D:28:7D:CA:F0 (KVSKT),74:4D:28:7D:7C:2A (Skola),76:4D:28:7D:7C:2C (SportaSkola),76:4D:28:7D:7C:2D (Publiskais_Internets),76:4D:28:7D:7C:2E (KVSKT),76:4D:28:7D:C2:2E (Publiskais_Internets),74:4D:28:7D:C2:2D (Skola),0C:80:63:4B:8C:64 (TP-Link_8C64),B4:CD:27:E8:AF:82 (LMT-AF82),36:5F:C9:E9:9D:4C (M\xC4\x81rti\xC5\x86\xC5\xA1\xE2\x80\x99s iPhone),DC:2C:6E:F6:36:F1 (LMT-5GHz-36EB),DC:2C:6E:F6:36:F0 (LMT-2GHz-36EB),6C:3B:6B:6D:DD:81 (GaismasTilts97),C4:44:7D:70:5E:44 (PPB 2.4),3C:F8:08:EF:71:48 (OPTIC7139),34:0A:33:65:27:DE (BALTCOM-5G-65:27:DE),48:8F:5A:B7:C6:85 (LMT-5G-C67F),74:4D:28:7D:7C:83 (Skola),76:4D:28:7D:7C:83 (SportaSkola),76:4D:28:7D:7C:84 (Publiskais_Internets),76:4D:28:7D:7C:85 (KVSKT),08:3A:2F:4B:69:0D (NVR083a2f4b690d),76:4D:28:7D:C7:3A (Publiskais_Internets),74:4D:28:7D:C7:39 (Skola),76:4D:28:7D:C7:39 (SportaSkola),74:4D:28:7D:C6:1E (Skola),F4:DE:AF:E4:41:0C (OPTIC4105),76:4D:28:7D:C6:30 (SportaSkola),F4:87:C5:0D:F4:31 (HUAWEI_B818_F42C),76:4D:28:7D:C6:20 (SportaSkola),76:4D:28:7D:C6:21 (Publiskais_Internets),76:4D:28:7D:C6:22 (KVSKT),74:4D:28:7D:B3:61 (Skola),76:4D:28:7D:B3:61 (SportaSkola),76:4D:28:7D:A0:4C (Publiskais_Internets),76:4D:28:7D:C7:15 (KVSKT)
6141,-62,-55,-71,-85,14,16,17,1242,256,340,-76,-74,-79,-83,-81,-74,-86,-81,-84,,-85,-83,-86,-86,-89,-85,,-85,,-84,,,-85,,,,,,,,,,,-76,,-84,,,,-86,,,,,,-86,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-86,-85,-81,-80,-84,-81,-91,-84,,,,,,,,,-80,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-86,,,-79,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6142,-62,-55,-71,-85,14,16,18,1242,256,340,-76,-74,-79,-83,-81,-74,-86,-81,-84,,-85,-83,-86,-86,-89,-85,,-85,,-84,,,-85,,,,,,,,,,,-76,,-84,,,,-86,,,,,,-86,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-86,-85,-81,-80,-84,-81,-91,-84,,,,,,,,,-80,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-86,,,-79,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6143,-62,-55,-71,-85,14,16,19,1242,256,340,-76,-74,-79,-83,-81,-74,-86,-81,-84,,-85,-83,-86,-86,-89,-85,,-85,,-84,,,-85,,,,,,,,,,,-76,,-84,,,,-86,,,,,,-86,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-86,-85,-81,-80,-84,-81,-91,-84,,,,,,,,,-80,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-86,,,-79,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6144,-60,-46,-59,-82,14,16,20,1242,256,340,-76,-79,-79,-83,,-74,-86,-87,-84,-84,-85,,-86,-86,-89,-85,,-85,,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-86,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-86,-82,-81,-80,-84,-81,-91,-84,,,,,,,,,-80,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-79,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6145,-61,-48,-58,-83,14,16,21,1242,256,340,-76,-79,-79,-83,,-74,-86,-87,-84,-84,-85,,-86,-86,-89,-85,,-85,,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-86,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-86,-82,-81,-80,-84,-89,-89,-86,,,,,,,,,-80,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-79,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6146,-60,-53,-59,-80,14,16,22,1242,256,340,-76,-84,-79,-83,,-83,-85,-86,-85,-84,-85,,-86,-87,-87,-85,,-85,-85,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-83,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-90,-83,-81,-80,-84,-89,-89,-86,,,,,,,,,-80,,,,,-85,,,,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-82,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6147,-60,-53,-59,-80,14,16,23,1242,256,340,-76,-84,-79,-83,,-83,-85,-86,-85,-84,-85,,-86,-87,-87,-85,,-85,-85,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-83,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-90,-83,-81,-80,-84,-89,-89,-86,,,,,,,,,-80,,,,,-85,,,,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-82,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,
6148,-60,-53,-59,-80,14,16,24,1242,256,340,-76,-84,-79,-83,,-83,-85,-86,-85,-84,-85,,-86,-87,-87,-85,,-85,-85,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-83,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-88,-83,-81,-80,-84,-89,-89,-86,,,,,,,,,-80,,,,,-85,,,,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-82,,,,,,,,-82,,,,-90,,,,,,,,,,,,,,,,,-87,,,,,,,
6149,-60,-53,-59,-80,14,16,25,1242,256,340,-76,-78,-79,-83,,-83,-85,-86,-85,-84,-85,,-86,-87,-87,-85,,-85,-85,-84,,-87,-85,,,,,,,,,,,-76,,-89,,,,-86,,,,,,-83,-81,-84,,,,-84,,,,-84,-81,,,,,,,,,,,,-84,,,,,-88,-83,-81,-80,-84,-89,-89,-86,,,,,,,,,-80,,,,,-85,,,,,,,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-86,,,-82,,,,,,,,-82,,,,-90,,,,,,,,,,,,,,,,,-87,,,,,,,
6150,-70,-82,-83,-82,15,1,1,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-85,-85,-86,-84,-83,-85,,,-88,-85,-81,,-87,-84,,,,-84,,-89,,,-83,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-83,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-85,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6151,-70,-82,-85,-64,15,1,2,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-84,-85,-86,-84,-83,-85,,,-88,-85,-84,,-87,-84,,,,-84,,-89,,-83,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-83,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-85,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6152,-71,-77,-79,-77,15,1,3,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-84,-85,-86,-84,-83,-85,,,-88,-85,-84,,-87,-84,,,,-84,,-89,,-83,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-83,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-83,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6153,-71,-77,-79,-77,15,1,4,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-84,-85,-86,-84,-83,-85,,,-88,-85,-84,,-87,-84,,,,-84,,-89,,-83,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-83,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-83,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6154,-71,-77,-79,-77,15,1,5,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-84,-85,-86,-84,-83,-85,,,-88,-85,-84,,-87,-84,,,,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-77,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-83,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6155,-71,-77,-79,-77,15,1,6,542,493,367,-72,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-84,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-85,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-83,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6156,-71,-77,-79,-77,15,1,7,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-84,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6157,-71,-77,-79,-77,15,1,8,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-84,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6158,-71,-77,-79,-77,15,1,9,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6159,-71,-77,-79,-77,15,1,10,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6160,-65,-66,-79,-77,15,1,11,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,-90,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-82,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6161,-65,-66,-79,-77,15,1,12,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-86,,,,,,,-84,-87,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6162,-65,-66,-79,-77,15,1,13,542,493,367,-80,-86,-88,,-85,,-82,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,-85,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6163,-65,-66,-79,-77,15,1,14,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6164,-65,-66,-79,-77,15,1,15,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6165,-65,-66,-79,-77,15,1,16,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6166,-65,-66,-79,-77,15,1,17,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6167,-65,-66,-79,-77,15,1,18,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6168,-65,-66,-79,-77,15,1,19,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
6169,-65,-66,-79,-77,15,1,20,542,493,367,-80,-86,-88,,-88,,-83,,,-84,-84,-85,-81,-83,-83,-81,-87,-83,-85,,,-88,-85,-84,,-87,-84,-89,-86,-84,-84,,-89,,-85,-85,,-84,-82,,-85,-87,,,,-86,,,,,,,,-86,,-85,-79,,,,,-87,,,,,,-84,,-87,-87,,,-81,,-85,-82,-82,,,-88,,,,,,,,,-88,,,-87,,,,,,,,,,,,,,,,,,-82,-85,,-87,-84,,,-88,,,,,-88,-84,-83,-84,,,,,-87,,,,,-85,,-85,,,,,,,-84,-89,,,-86,,,,,,,,-87,,,,,-86,-86,,,,,,,,,-86,-85,-87,
